species,age,SLA_m2_kg,Reference
Acer platanoides,0.3,25.9,"Lapointe, B., Brisson, J., 2012. A comparison of invasive Acer platanoides and native A. saccharum first-year seedlings: Growth, biomass distribution and the influence of ecological factors in a forest understory. Forests 3, 190-206."
Acer platanoides,32,27.2,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Acer platanoides,80,19.2,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Acer pseudoplatanus,3,27.02702703,"Barthod, S., Epron, D., 2005. Variations of construction cost associated to leaf area renewal in saplings of two co-occurring temperate tree species (Acer platanoides L. and Fraxinus excelsior L.) along a light gradient. Annals of Forest Science 62, 545-551."
Acer pseudoplatanus,5,19.19385797,"Kuehne, C., Nosko, P., Horwath, T., Bauhus, J., 2014. A comparative study of physiological and morphological seedling traits associated with shade tolerance in introduced red oak (Quercus rubra) and native hardwood tree species in southwestern Germany. Tree Physiology 34, 184-193."
Acer pseudoplatanus,12.7,21.11040743,"Petritan, A. M., von Lüpke, B., Petritan, I. C., 2010. A comparative analysis of foliar chemical composition and leaf construction costs of beech (Fagus sylvatica L.), sycamore maple (Acer pseudoplatanus L.) and ash (Fraxinus excelsior L.) saplings along a light gradient. Annals of Forest Science 67, 610."
Acer pseudoplatanus,32,21.3,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Acer pseudoplatanus,80,16.7,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Acer pseudoplatanus,100,12.495,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Acer pseudoplatanus,100,11.32,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Acer saccharum,0.3,24.3,"Lapointe, B., Brisson, J., 2012. A comparison of invasive Acer platanoides and native A. saccharum first-year seedlings: Growth, biomass distribution and the influence of ecological factors in a forest understory. Forests 3, 190-206."
Acer saccharum,2,23.25581395,"Nolet, P., Delagrange, S., Bouard, D., Doyon, F., Forget, E., 2008. The successional status of sugar maple (Acer saccharum), revisited. Annals of Forest Science 65, 208-208."
Acer saccharum,76.4,16.26,"Burton, A. J., Pregitzer, K. S., Reed, D. D., 1991. Leaf area and foliar biomass relationships in northern hardwood forests located along an 800 km acid deposition gradient. Forest Science 37, 1041-1059."
Abies alba,13,12.31825,"Billen, N., Schätzle, H., Seufert, G., Arndt, U., 1990. Performance of some growth variables. Environmental Pollution 68, 419-434."
Abies alba,32,5.85,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Alnus glutinosa,4,19.1,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,4,12.3,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,4,19.4,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,5,15.3,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,5,18.7,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,7,17.5,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,10,15,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,13,16.5,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,17,14.4,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,36,12.9,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus glutinosa,49,13.3,"Johansson, T., 1999b. Biomass equations for determining fractions of European aspen growing on abandoned farmland and some practical implications. Biomass and Bioenergy 17, 471-480."
Alnus incana,5,17.5,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,6,16.4,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,7,12.1,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,8,15.1,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,10,16,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,10,14.9,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,14,16,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,15,7.8,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,15,15,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,15,14.4,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,15,14,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,17,13.4,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,25,14.2,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,27,14.1,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,35,14.9,"Johansson, T., 2000. Biomass equations for determining fractions of common and grey alders growing on abandoned farmland and some practical implications. Biomass and Bioenergy 18, 147-159."
Alnus incana,40,12.8,"Johansson, T., 1999b. Biomass equations for determining fractions of European aspen growing on abandoned farmland and some practical implications. Biomass and Bioenergy 17, 471-480."
Betula pendula,3,20.3,"Adriaenssens, S., Staelens, J., Wuyts, K., Schrijver, A. d., Wittenberghe, S. V., Wuytack, T., Kardel, F., Verheyen, K., Samson, R., Boeckx, P., 2011. Foliar nitrogen uptake from wet deposition and the relation with leaf wettability and water storage capacity. Water, Air, & Soil Pollution 219, 43-57."
Betula pendula,6,14.7,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,7,10.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,8,12,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,8,11.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,8,13.2,"Uri, V., Vares, A., Tullus, H., Kanal, A., 2007a. Above-ground biomass production and nutrient accumulation in young stands of silver birch on abandoned agricultural land. Biomass and Bioenergy 31, 195-204."
Betula pendula,8,13.4,"Uri, V., Vares, A., Tullus, H., Kanal, A., 2007a. Above-ground biomass production and nutrient accumulation in young stands of silver birch on abandoned agricultural land. Biomass and Bioenergy 31, 195-204."
Betula pendula,8,15.4,"Uri, V., Vares, A., Tullus, H., Kanal, A., 2007a. Above-ground biomass production and nutrient accumulation in young stands of silver birch on abandoned agricultural land. Biomass and Bioenergy 31, 195-204."
Betula pendula,8,15.4,"Uri, V., Vares, A., Tullus, H., Kanal, A., 2007a. Above-ground biomass production and nutrient accumulation in young stands of silver birch on abandoned agricultural land. Biomass and Bioenergy 31, 195-204."
Betula pendula,8,16.8,"Uri, V., Vares, A., Tullus, H., Kanal, A., 2007a. Above-ground biomass production and nutrient accumulation in young stands of silver birch on abandoned agricultural land. Biomass and Bioenergy 31, 195-204."
Betula pendula,8,15,"Uri, V., Lõhmus, K., Ostonen, I., Tullus, H., Lastik, R., Vildo, M., 2007b. Biomass production, foliar and root characteristics and nutrient accumulation in young silver birch (Betula pendula Roth.) stand growing on abandoned agricultural land. European Journal of Forest Research 126, 495-506."
Betula pendula,10,6.5,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,11,13.5,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,12,4.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,14,13.4,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,15,16.31,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Betula pendula,16,14.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,17,15.2,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,26,13.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,32,18.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pendula,32,13.4,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,45,11.3,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pendula,60,10.5,"Rosenvald, K., Ostonen, I., Uri, V., Varik, M., Tedersoo, L., Lõhmus, K., 2013. Tree age effect on fine-root and leaf morphology in a silver birch forest chronosequence. European Journal of Forest Research 132, 219-230."
Betula pubescens,6,12.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,6,4.8,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,7,14.1,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,7,16.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,8,12.2,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,11,11,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,11,10.2,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,12,14.4,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,14,14,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Betula pubescens,20,13.8,"Johansson, T., 1999a. Biomass equations for determining fractions of pendula and pubescent birches growing on abandoned farmland and some practical implications. Biomass and Bioenergy 16, 223-238."
Castania sativa,5,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,7,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,10,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,12,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,17,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,23,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,26,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,30,14.2,"Covone F, L. G., 2006. Age-related physiological and structural traits of chestnut coppices at the Castelli Romani Park (Italy). Annals of Forest Science 63, 239-247."
Castania sativa,68,19.7,"Çakmak, A., Özbucak, T., Türkiş, S., 2013. Foliar Resorption in Castanea Sativa mill. Along A Growth Period in Disturbed and Undisturbed Areas in Ordu/ Turkey. Digital Proceeding Of THE ICOEST’2013 - Cappadocia, Nevsehir, Turkey (June 18 - 21)."
Castania sativa,70,10.1,"Gratani, L., Bombelli, A., Crescente, M. F., 2003. Leaf area index (LAI) map of a protected area within the caldera of Vico Lake (Italy). Plant Biosystems 137, 141-147."
Carpinus betulus,5,24.57002457,"Kuehne, C., Nosko, P., Horwath, T., Bauhus, J., 2014. A comparative study of physiological and morphological seedling traits associated with shade tolerance in introduced red oak (Quercus rubra) and native hardwood tree species in southwestern Germany. Tree Physiology 34, 184-193."
Carpinus betulus,80,17.9,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Carpinus betulus,100,17.365,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Carpinus betulus,100,19.465,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Fraxinus excelsior,3,30.3030303,"Barthod, S., Epron, D., 2005. Variations of construction cost associated to leaf area renewal in saplings of two co-occurring temperate tree species (Acer platanoides L. and Fraxinus excelsior L.) along a light gradient. Annals of Forest Science 62, 545-551."
Fraxinus excelsior,14.4,20.57189879,"Petritan, A. M., von Lüpke, B., Petritan, I. C., 2010. A comparative analysis of foliar chemical composition and leaf construction costs of beech (Fagus sylvatica L.), sycamore maple (Acer pseudoplatanus L.) and ash (Fraxinus excelsior L.) saplings along a light gradient. Annals of Forest Science 67, 610."
Fraxinus excelsior,22,15.5,"Le Goff, N., Ottorini, J.-M., 1996. Leaf development and stem growth of Ash (Fraxinus excelsior) as affected by tree competitive status. Journal of Applied Ecology 33, 793-802."
Fraxinus excelsior,25,15.05333333,"Le Goff, N., Granier, A., Ottorini, J.-M., Peiffer, M., 2004. Biomass increment and carbon balance of ash (Fraxinus excelsior) trees in an experimental stand in northeastern France. Annals of Forest Science 61, 577-588."
Fraxinus excelsior,80,12.9,"Hölscher, D., 2004. Leaf traits and photosynthetic parameters of saplings and adult trees of co-existing species in a temperate broad-leaved forest. Basic and Applied Ecology 5, 163-172."
Fraxinus excelsior,100,13.24,"Legner, N., Fleck, S., Leuschner, C., 2013. Low light acclimation in five temperate broad-leaved tree species of different successional status: the significance of a shade canopy. Annals of Forest Science 70, 557-570."
Fraxinus excelsior,100,11.965,"Legner, N., Fleck, S., Leuschner, C., 2014. Within-canopy variation in photosynthetic capacity, SLA and foliar N in temperate broad-leaved trees with contrasting shade tolerance.  28, 263-280."
Fagus sylvatica,3,30.2,"Adriaenssens, S., Staelens, J., Wuyts, K., Schrijver, A. d., Wittenberghe, S. V., Wuytack, T., Kardel, F., Verheyen, K., Samson, R., Boeckx, P., 2011. Foliar nitrogen uptake from wet deposition and the relation with leaf wettability and water storage capacity. Water, Air, & Soil Pollution 219, 43-57."
Fagus sylvatica,5,22.29033157,"Aranda, I., Bergasa, L. F., Gil, L., Pardos, J. A., 2001. Effects of relative irradiance on the leaf structure of Fagus sylvatica L. seedlings planted in the understory of a Pinus sylvestris L. stand after thinning. Annals of Forest Science 58, 673-680."
