species,age,SLA_m2_kg,Reference
Larix decidua,41,16.2,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,44,14.49,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,44,11.3,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,45,10.9,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,46,12.08,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,46,11.9,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,49,11.3,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,56,11.4,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,58,12,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,59,12.1,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,59,14,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,60,11.2,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,67,13.8,"Walters, M. B., Gerlach, J. P., 2013. Intraspecific growth and functional leaf trait responses to natural soil resource gradients for conifer species with contrasting leaf habit. Tree Physiology 33, 297-310."
Larix decidua,92,13.57,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,96,10.62,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,98,10.77,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,105,14.48,"Masyagina, O., Prokushkin, A., Kirdyanov, A., Artyukhov, A., Udalova, T., Senchenkov, S., Rublev, A., 2016. Intraseasonal carbon sequestration and allocation in larch trees growing on permafrost in Siberia after 13C labeling (two seasons of 2013-2014 observation). Photosynthesis Research 130, 267-274."
Larix decidua,131,10,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,147,10.66,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Larix decidua,186,11.97,"Fellner, H., Dirnberger, G. F., Sterba, H., 2016. Specific leaf area of European Larch (Larix decidua MILL.). Trees 30, 1237-1244."
Pinus pinaster,1,4.781,"Sánchez-Gómez, D., Valladares, F., Zavala, M. A., 2006. Functional traits and plasticity in response to light of four Iberian forest tree species. Tree Physiology 26, 1425-1433."
Pinus pinaster,3,4.269105213,"Madrigal, J., Hernando, C., Guijarro, M., Vega, J. A., Fontúrbel, T., Pérez-Gorostiaga, P., 2010. Smouldering fire-induced changes in a Mediterranean soil (SE Spain): effects on germination, survival and morphological traits of 3-year-old Pinus pinaster Ait. Plant Ecology 208, 279-292."
Pinus pinaster,5,3.460017391,"Porte, A., Bosc, A., Champion, I., Loustau, D., 2000. Estimating the foliage area of Maritime pine (Pinus pinaster Ait.) branches and crowns with application to modelling the foliage area distribution in the crown. Annals of Forest Science 57, 73-86."
Pinus pinaster,10,2.770083102,"Delzon, S., Loustau, D., 2005. Age-related decline in stand water use: sap flow and transpiration in a pine forest chronosequence. Agricultural And Forest Meteorology 129, 105-119."
Pinus pinaster,12,2.75,"Warren, C. R., Adams, M. A., 2001. Distribution of N, Rubisco and photosynthesis in Pinus pinaster and acclimation to light. Plant Cell and Environment 24, 597-609."
Pinus pinaster,12.42,3.28,"Eimil-Fraga, C., Sánchez-Rodríguez, F., Álvarez-Rodríguez, E., Rodríguez-Soalleiro, R., 2015. Relationships between needle traits, needle age and site and stand parameters in Pinus pinaster. Trees 29, 1103-1113."
Pinus pinaster,17,2.4,"Warren, C. R., Adams, M. A., 2000. Trade-offs between the persistence of foliage and productivity in two Pinus species. Oecologia 124, 487-494."
Pinus pinaster,20,1.7975,"Warren, C. R., 2006. Why does photosynthesis decrease with needle age in Pinus pinaster? Trees 20, 157-164."
Pinus pinaster,25,2.54,"Porté, A., Loustau, D., 1998. Variability of the photosynthetic characteristics of mature needles within the crown of a 25-year-old Pinus pinaster. Tree Physiology 18, 223-232."
Pinus pinaster,26,2.733264628,"Porte, A., Bosc, A., Champion, I., Loustau, D., 2000. Estimating the foliage area of Maritime pine (Pinus pinaster Ait.) branches and crowns with application to modelling the foliage area distribution in the crown. Annals of Forest Science 57, 73-86."
Pinus pinaster,29,3.125,Andres Bravo-Oviedo pers. Comm.
Pinus pinaster,32,3.205128205,"Delzon, S., Loustau, D., 2005. Age-related decline in stand water use: sap flow and transpiration in a pine forest chronosequence. Agricultural And Forest Meteorology 129, 105-119."
Pinus pinaster,37,5.25,"Lopes, D., Nunes, L., Walford, N., Aranha, J., Sette, C., Viana, H., Hernandez, C., 2014. A simplified methodology for the correction of Leaf Area Index (LAI) measurements obtained by ceptometer with reference to Pinus Portuguese forests. iForest - Biogeosciences and Forestry 7, 186-192."
Pinus pinaster,38,3.27,"Nunes, L., Lopes, D., Castro Rego, F., Gower, S. T., 2013. Aboveground biomass and net primary production of pine, oak and mixed pine-oak forests on the Vila Real district, Portugal. Forest Ecology and Management 305, 38-47."
Pinus pinaster,54,3.448275862,"Delzon, S., Loustau, D., 2005. Age-related decline in stand water use: sap flow and transpiration in a pine forest chronosequence. Agricultural And Forest Meteorology 129, 105-119."
Pinus pinaster,64,2.17,"López-Serrano, F. R., Martínez-García, E., Dadi, T., Rubio, E., García-Morote, F. A., Lucas-Borja, M. E., Andrés-Abellán, M., 2015. Biomass growth simulations in a natural mixed forest stand under different thinning intensities by 3-PG process-based model. European Journal of Forest Research 134, 167-185."
Pinus pinaster,64,2.702702703,"Mouillot, F., Rambal, S., Joffre, R., 2002. Simulating climate change impacts on fire frequency and vegetation dynamics in a Mediterranean-type ecosystem. Global Change Biology 8, 423-437."
Pinus pinaster,65,2.17,Andres Bravo-Oviedo pers. Comm.
Pinus pinaster,67,2.42,Andres Bravo-Oviedo pers. Comm.
Pinus pinaster,91,1.919385797,"Delzon, S., Loustau, D., 2005. Age-related decline in stand water use: sap flow and transpiration in a pine forest chronosequence. Agricultural And Forest Meteorology 129, 105-119."
Pinus pinaster,100,2.006510388,"Mediavilla, S., González-Zurdo, P., Escudero, A., 2011. Morphological and chemical leaf composition of Mediterranean evergreen tree species according to leaf age. Trees 25, 669-677."
Pinus sylvestris,2,4.515357143,"Wuytack, T., Samson, R., Wuyts, K., Adriaenssens, S., Kardel, F., Verheyen, K., 2013a. Do leaf characteristics of White Willow (Salix alba L.), Northern Red Oak (Quercus rubra L.), and Scots Pine (Pinus sylvestris L.) respond differently to ambient air pollution and other environmental stressors? Water, Air, & Soil Pollution 224, 1635."
Pinus sylvestris,3,3.69,"Adriaenssens, S., Staelens, J., Wuyts, K., Schrijver, A. d., Wittenberghe, S. V., Wuytack, T., Kardel, F., Verheyen, K., Samson, R., Boeckx, P., 2011. Foliar nitrogen uptake from wet deposition and the relation with leaf wettability and water storage capacity. Water, Air, & Soil Pollution 219, 43-57."
Pinus sylvestris,9,4.27,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,9,4.16,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,9,4.04,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,15,7.35,"Van Nevel, L. 2015. Tree species effects on Cd and Zn mobility after afforestation of contaminated soils in the Campine region (northern Belgium). PhD thesis."
Pinus sylvestris,18,3.88,"Luoma, S., 1997. Geographical pattern in photosynthetic light response of Pinus sylvestris in Europe. Functional Ecology 11, 273-281."
Pinus sylvestris,23,4,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,23,3.2,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,23,3.89,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,24,3.84,"Luoma, S., 1997. Geographical pattern in photosynthetic light response of Pinus sylvestris in Europe. Functional Ecology 11, 273-281."
Pinus sylvestris,25,3.956,"Smolander, H., Stenberg, P., 1996. Response of LAI-2000 estimates to changes in plant surface area index in a Scots pine stand. Tree Physiology 16, 345-349."
Pinus sylvestris,25,4,"Luoma, S., 1997. Geographical pattern in photosynthetic light response of Pinus sylvestris in Europe. Functional Ecology 11, 273-281."
Pinus sylvestris,26,4.4,"Luoma, S., 1997. Geographical pattern in photosynthetic light response of Pinus sylvestris in Europe. Functional Ecology 11, 273-281."
Pinus sylvestris,27,4.32,"Luoma, S., 1997. Geographical pattern in photosynthetic light response of Pinus sylvestris in Europe. Functional Ecology 11, 273-281."
Pinus sylvestris,28,5.506,"Mencuccini, M., Bonosi, L., 2001. Leaf/sapwood area ratios in Scots pine show acclimation across Europe. Canadian Journal of Forest Research 31, 442-456."
Pinus sylvestris,28,3.48,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,28,4.54,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,28,3.75,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,30,4.163035575,"Niinemets, Ü., Ellsworth, D. S., Lukjanova, A., Tobias, M., 2001. Site fertility and the morphological and photosynthetic acclimation of Pinus sylvestris needles to light. Tree Physiology 21, 1231-1244 AND Niinemets, Ü., Lukjanova, A., 2003. Needle longevity, shoot growth and branching frequency in relation to site fertility and within-canopy light conditions in Pinus sylvestris. Annals of Forest Science 60, 195-208."
Pinus sylvestris,32,3.906,"Mencuccini, M., Bonosi, L., 2001. Leaf/sapwood area ratios in Scots pine show acclimation across Europe. Canadian Journal of Forest Research 31, 442-456."
Pinus sylvestris,32,4.48,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Pinus sylvestris,35,2.867,"Mäkelä, A., Virtanen, K., Nikinmaa, E., 1995. The effects of ring width, stem position, and stand density on the relationship between foliage biomass and sapwood area in scots pine (Pinus silvestris). Canadian Journal of Forest Research 25, 970-977."
Pinus sylvestris,35,4.748,"Mencuccini, M., Bonosi, L., 2001. Leaf/sapwood area ratios in Scots pine show acclimation across Europe. Canadian Journal of Forest Research 31, 442-456."
Pinus sylvestris,36,4.4,"Luoma, S., 1997. Geographical pattern in photosynthetic light response of Pinus sylvestris in Europe. Functional Ecology 11, 273-281."
Pinus sylvestris,38,5.403,"Mencuccini, M., Grace, J., 1995. Climate influences the leaf area/sapwood area ratio in Scots pine. Tree Physiology 15, 1-10."
Pinus sylvestris,38,4.265,"Mencuccini, M., Grace, J., 1995. Climate influences the leaf area/sapwood area ratio in Scots pine. Tree Physiology 15, 1-10."
Pinus sylvestris,38,3.96,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,38,3.89,"van Hees, A. F. M., Bartelink, H. H., 1993. Needle area relationships of Scots pine in the Netherlands. Forest Ecology and Management 58, 19-31."
Pinus sylvestris,40,4.893,"Whitehead, D., 1978. The estimation of foliage area from sapwood basal area in Scots Pine. Forestry 51, 137-149."
Pinus sylvestris,45,4.59,"Mencuccini, M., Bonosi, L., 2001. Leaf/sapwood area ratios in Scots pine show acclimation across Europe. Canadian Journal of Forest Research 31, 442-456."
Pinus sylvestris,49,5,"Laforest-Lapointe, I., Martínez-Vilalta, J., Retana, J., 2014. Intraspecific variability in functional traits matters: case study of Scots pine. Oecologia 175, 1337-1348."
Pinus sylvestris,66,4.759,"Čermák, J., Riguzzi, F., Ceulemans, R., 1998. Scaling up from the individual tree to the stand level in Scots pine. I. Needle distribution, overall crown and root geometry. Annals Des Sciences Forestieres 55, 63-88."
Pinus sylvestris,70,3.732,"Mencuccini, M., Bonosi, L., 2001. Leaf/sapwood area ratios in Scots pine show acclimation across Europe. Canadian Journal of Forest Research 31, 442-456."
Pinus sylvestris,73,4.38,"Xiao, C.-W., Janssens, I. A., Yuste, J. C., Ceulemans, R., 2006. Variation of specific leaf area and upscaling to leaf area index in mature Scots pine. Trees 20, 304-310."
Picea abies,6,6.113333333,"Rolo, V., Andivia, E., Pokorný, R., 2015. Response of Fagus sylvatica and Picea abies to the interactive effect of neighbor identity and enhanced CO2 levels. Trees 29, 1459-1469."
Picea abies,12,9,"Konôpka, B., Pajtík, J., 2014. Similar foliage area but contrasting foliage biomass between young beech and spruce stands. Lesn. Cas. For. J. 60, 205-213."
Picea abies,12,8.5,"Urban, O., Pokorný, R., Kalina, J., Marek, M. V., 2003. Control mechanisms of photosynthetic capacity under elevated CO2 concentration: Evidence from three experiments with Norway Spruce trees. Photosynthetica 41, 69-75."
Picea abies,13,8.7,"Konôpka, B., Pajtík, J., Marušák, R., Bošel’a, M., Lukac, M., 2016. Specific leaf area and leaf area index in developing stands of Fagus sylvatica L. and Picea abies Karst. Forest Ecology and Management 364, 52-59."
Picea abies,13,11.2274,"Billen, N., Schätzle, H., Seufert, G., Arndt, U., 1990. Performance of some growth variables. Environmental Pollution 68, 419-434."
Picea abies,17,5,"Hagar, H., Sterba, H., 1985. Specific leaf area and needle weight of Norway spruce (Picea abies) in stands of different densities. Canadian Journal of Forest Research 15, 389-392."
Picea abies,22,5.263157895,"Niinemets, Ü., 2010. A review of light interception in plant stands from leaf to canopy in different plant functional types and in species with varying shade tolerance. Ecological Research 25, 693-714 AND Niinemets, Ü., 1997. Distribution patterns of foliar carbon and nitrogen as affected by tree dimensions and relative light conditions in the canopy of Picea abies. Trees-Structure and Function 11, 144-154."
Picea abies,22,7.55,"Kayama, M., Kitaoka, S., Wang, W., Choi, D., Koike, T., 2007. Needle longevity, photosynthetic rate and nitrogen concentration of eight spruce taxa planted in northern Japan. Tree Physiology 27, 1585-1593."
Picea abies,28,3.3,"Gower, S. T., Reich, P. R., Son, Y., 1993. Canopy dynamics and aboveground production of five trees species with different leaf longevities. Tree Physiology 12, 327-345."
Picea abies,30,6.966666667,"Homolová, L., Lukeš, P., Malenovský, Z., Lhotáková, Z., Kaplan, V., Hanuš, J., 2013. Measurement methods and variability assessment of the Norway spruce total leaf area: implications for remote sensing. Trees 27, 111-121."
Picea abies,30,3.935,"Sellin, A., 2000. Estimating the needle area from geometric measurements: application of different calculation methods to Norway spruce. Trees 14, 215-222 AND Sellin, A., 2001. Morphological and stomatal responses of Norway spruce foliage to irradiance within a canopy depending on shoot age. Environmental and Experimental Botany 45, 115-131."
Picea abies,32,5.44,"Withington, J. M., Reich, P. B., Oleksyn, J., Eissenstat, D. M., 2006. Comparisons of structure and life span in roots and leaves among temperate trees. Ecological Monographs 76, 381-397."
Picea abies,37,4.9,"Mar:Möller 1945 cited in Hagar, H., Sterba, H., 1985. Specific leaf area and needle weight of Norway spruce (Picea abies) in stands of different densities. Canadian Journal of Forest Research 15, 389-392."
Picea abies,38,4.95,"Stenberg, P., Kangas, T., Smolander, H., Linder, S., 1999. Shoot structure, canopy openness, and light interception in Norway spruce. Plant, Cell and Environment 22, 1133-1142."
Picea abies,42.8,4.12,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Picea abies,56.5,6.666666667,"Niinemets, U., Kull, K., 1994. Leaf weight per area and leaf size of 85 Estonian woody species in relation to shade tolerance and light availability. Forest Ecology and Management 70, 1-10."
Picea abies,57.5,3.448275862,"Tarvainen, L., Wallin, G., Räntfors, M., Uddling, J., 2013. Weak vertical canopy gradients of photosynthetic capacities and stomatal responses in a fertile Norway spruce stand. Oecologia 173, 1179-1189."
Picea abies,62.5,2.6875,"Wieser, G., Hecke, K., Tausz, M., Matyssek, R., 2013. Foliage type specific susceptibility to ozone in Picea abies, Pinus cembra and Larix decidua at treeline: A synthesis. Environmental and Experimental Botany 90, 4-11."
Picea abies,65,5.4,"Burger, H., 1953. Holz, Blattmenge und Zuwachs XIII. Fichten im gleichaltrigen Hochwald. Mitt Schweiz Anst forstl Versuchswes 29, 38-130 CITED IN Hagar, H., Sterba, H., 1985. Specific leaf area and needle weight of Norway spruce (Picea abies) in stands of different densities. Canadian Journal of Forest Research 15, 389-392."
Picea abies,71.8,4.38,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Picea abies,76,5.8,"Droste, B. 1969. Struktur und Biomasse eines Fichtenbstandes auf Grund einer Dimensions analyse an Baumorganen."
Picea abies,112,3.76,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Picea abies,142.4,3.93,"Mund, M., Kummetz, E., Hein, M., Bauer, G. A., Schulze, E.-D., 2002. Growth and carbon stocks of a spruce forest chronosequence in central Europe. Forest Ecology and Management 171, 275-296."
Pinus cembra,50,4.581796522,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Pinus cembra,50,4.771220001,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Pinus cembra,200,4.448596468,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Pinus cembra,200,4.61243975,"Li, M.-H., Kräuchi, N., Dobbertin, M., 2006. Biomass distribution of different-aged needles in young and old Pinus cembra trees at highland and lowland sites. Trees 20, 611-618."
Populus tremula,5,18.2,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,8,13.6,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,8,13.11783333,"Müller, A., Horna, V., Kleemann, F., Vornam, B., Leuschner, C., 2013. Physiological vs. morphological traits controlling the productivity of six aspen full-sib families. Biomass and Bioenergy 56, 274-283."
Populus tremula,9,13.3,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,10,6.2,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
Populus tremula,13,11.3,"Johansson, T., 1999c. Dry matter amounts and increment in 21- to 91-year-old common alder and grey alder and some practical implications. Canadian Journal of Forest Research 29, 1679-1690."
